Row_Field,Col_Field,Family,ID,Larg_Leaf_Len_Bolt,Larg_Leaf_Wid_Bolt,GM_StemHeight_Bolt,GM_Leaf_Number_Bolt,Sampler,Maple_Died
1,3,vrp,530,27,27,59,13,Nikita,
1,3,msm,370,,,,,Nikita,
1,3,msm,394,,,,,Nikita,
1,3,efc,140,,,,,Nikita,
1,3,mav,315,10,10,40,6,Nikita,
1,3,jbb,202,,,,,Nikita,
1,3,jar,178,5,6,42,6,Nikita,
1,3,rul,427,,,,,Nikita,
1,3,jar,163,,,,,Nikita,
1,3,kve,283,,,,,Nikita,
1,3,seb,i151,27,24,93,18,Nikita,
1,4,crs,57,,,,,Nikita,
1,4,wss,562,,,,,Nikita,
1,4,cwr,85,10,9,37,6,Nikita,
1,4,efc,141,,,,,Nikita,
1,4,vrp,522,,,,,Nikita,
1,4,vrc,502,,,,,Nikita,
1,4,efc,139,,,,,Nikita,
1,4,efc,156,,,,,Nikita,
1,4,pdv,404,,,,,Nikita,
1,4,jar,160,32,31,85,17,Nikita,
1,4,mhb,351,7,10,35,4,Nikita,
1,4,jar,191,,,,,Nikita,
1,4,smi,472,,,,,Nikita,
1,4,mhb,347,,,,,Nikita,
1,4,dvg,131,39,41,109,25,Nikita,
1,4,vrp,250,,,,,Nikita,
1,5,vrp,523,,,,,Nikita,
1,5,efc,150,,,,,Nikita,
1,5,cbm,41,,,,,Nikita,
1,5,msm,381,,,,,Nikita,
1,5,efc,152,,,,,Nikita,
1,5,bwp,7,,,,,Nikita,
1,5,kve,285,,,,,Nikita,
1,5,jbb,189,,,,,Nikita,
1,5,cbm,38,28,30,61,22,Nikita,
1,5,jbc,228,11,10,7,4,Nikita,
1,5,jbc,230,,,,,Nikita,
1,5,jbc,229,,,,,Nikita,
1,5,mav,311,,,,,Nikita,
1,5,kve,276,,,,,Nikita,
1,5,jbb,194,2,2,5,1,Nikita,
1,5,mav,308,,,,,Nikita,
1,6,vrc,500,,,,,Nikita,
1,6,cwr,100,12,14,50,7,Nikita,
1,6,efc,149,,,,,Nikita,
1,6,crs,72,,,,,Nikita,
1,6,msm,372,,,,,Nikita,
1,6,cwr,89,12,17,50,7,Nikita,
1,6,mav,317,,,,,Nikita,
1,6,jwb,254,,,,,Nikita,
1,6,jbc,224,,,,,Nikita,
1,6,msm,385,,,,,Nikita,
1,6,mav,305,,,,,Nikita,
1,6,cwr,81,,,,,Nikita,
1,6,mav,307,,,,,Nikita,
1,6,jbb,201,,,,,Nikita,
1,6,efc,143,,,,,Nikita,
1,6,smi,453,,,,,Nikita,
2,6,cwr,79,29,26,68,10,Nikita,
2,6,mhb,353,,,,,Nikita,
2,6,pdv,415,,,,,Nikita,
2,6,sma,443,,,,,Nikita,
2,6,lge,i123,,,,,Nikita,
2,6,cwr,99,34,34,45,20,Nikita,
2,6,efc,148,,,,,Nikita,
2,6,nsl,i139,,,,,Nikita,
2,6,jar,175,,,,,Nikita,
2,5,rul,424,,,,,Nikita,
2,5,bsg,541,,,,,Nikita,
2,5,jbb,222,31,31,73,14,Nikita,
2,5,kve,286,11,16,127,7,Nikita,
2,5,vrc,493,8,10,34,5,Nikita,
2,5,mbs,i135,9,5,8,4,Nikita,
2,5,cbm,i116,19,15,80,9,Nikita,
2,5,jar,170,9,8,35,8,Nikita,
2,5,jbc,232,31,28,74,27,Nikita,
2,5,jbc,231,9,7,34,2,Nikita,
2,5,smi,459,,,,,Nikita,
2,4,kve,290,,,,,Nikita,
2,4,jwb,266,40,36,115,16,Nikita,
2,4,nsl,i137,,,,,Nikita,
2,4,mav,306,,,,,Nikita,
2,4,cbm,i109,,,,,Nikita,
2,4,jbc,244,18,14,144,8,Nikita,Y
2,4,bwp,15,,,,,Nikita,
2,4,cbm,37,,,,,Nikita,
2,4,bwp,5,,,,,Nikita,
2,4,bwp,14,,,,,Nikita,
2,3,jar,176,,,,,Nikita,
2,3,pdv,418,,,,,Nikita,
2,3,jbb,199,28,29,74,17,Nikita,
2,3,smi,464,,,,,Nikita,
2,3,jbc,246,,,,,Nikita,
2,3,vrp,527,,,,,Nikita,
2,3,crs,58,,,,,Nikita,
2,3,sma,446,,,,,Nikita,
2,3,mav,324,,,,,Nikita,
2,2,crs,55,,,,,Nikita,
2,2,kve,272,,,,,Nikita,
2,2,jwb,262,7,7,33,4,Nikita,
2,2,smi,i157,,,,,Nikita,
2,2,pdb,409,,,,,Nikita,
2,2,bwp,23,,,,,Nikita,
2,2,mav,314,,,,,Nikita,
2,2,kve,289,,,,,Nikita,
2,2,dvg,120,,,,,Nikita,
2,2,mav,319,,,,,Nikita,
2,2,msm,392,,,,,Nikita,
2,2,bwp,12,,,,,Nikita,
2,1,wss,560,,,,,Nikita,
