Genotype,GM_Leaf_Number,GM_Leaf_Len,GM_Leaf_Wid,ThripsDam,WhiteFungDam,BlackPathDam
e§PDVRT1-20§Q§415,leaf-1,length-46,width-45.png,0,0,1
d§VRPET2-3-20§Q§529,leaf-1,length-47,width-47.png,5,0,0
d§VSGARO1-1-0§Q§538,leaf-2,length-70,width-65.png,0,0,0
c§PDVRT1-20§Q§414,leaf-1,length-33,width-31.png,15,0,0
b§EFCC2-4-80§Q§144,leaf-1,length-70,width-68.png,3,1,5
e§MAVBEL2-1-20§N§333,leaf-2,length-40,width-39.png,0,0,1
a§SMITH1-20§Q§48,leaf-1,length-40,width-35.png,2,0,0
d§LGESC1-3-60§V§i124,leaf-1,length-50,width-48.png,0,1,1
b§VRCAN-1-40§Q§481,leaf-1,length-58,width-55.png,6,0,0
b§JARI1-1-80§Q§165,leaf-1,length-53,width-45.png,1,0,0
b§MAVBEL2-1-20§N§311,leaf-1,length-55,width-55.png,6,0,0
b§VRCAN-1-40§Q§487,leaf-2,length-67,width-72.png,28,0,3
e§JBCHY1-1-50§Q§241,leaf-1,length-67,width-64.png,0,0,1
a§WSSWM3-1-0§Q§551,leaf-1,length-53,width-52.png,0,1,1
a§CBMCK1-1-0§N§34,leaf-1,length-43,width-43.png,0,0,0
a§CWRIC2-X2§Q§79,leaf-2,length-50,width-55.png,0,1,18
d§MAVBEL2-1-20§N§325,leaf-1,length-41,width-41.png,0,0,0
d§CRSOSO-3-40§Q§63,leaf-1,length-40,width-32.png,0,0,0
e§SMITH1-1-0§Q§i160,leaf-2,length-46,width-52.png,2,1,0
b§CBMCK1-1-0§N§37,leaf-1,length-31,width-23.png,0,0,0
c§JBBLB2-1-20§Q§209,leaf-2,length-50,width-51.png,8,0,0
e§CBMCK1-2-80§N§i112,leaf-1,length-42,width-38.png,0,0,2
d§JWBOY-2-80§Q§260,leaf-1,length-53,width-56.png,1,0,6
a§CWRIC2-X2§Q§84,leaf-2,length-80,width-84.png,0,3,0
e§JWBOY-2-80§Q§263,leaf-2,length-55,width-55.png,4,0,1
e§DVGM-20§Q§130,leaf-1,length-42,width-50.png,0,0,0
a§MSMID1-1-20§Q§370,leaf-2,length-62,width-67.png,1,0,0
c§BWPEM1-9-0§Q§9,leaf-1,length-68,width-64.png,5,0,0
a§LGESC1-3-60§V§i123,leaf-2,length-80,width-85.png,2,0,0
a§WSSWM3-1-0§Q§552,leaf-2,length-76,width-76.png,6,0,0
b§CBMCK1-1-0§N§38,leaf-1,length-34,width-39.png,0,0,0
c§CBMCK1-2-80§N§i111,leaf-1,length-34,width-26.png,0,0,0
e§VSGARO1-1-0§Q§547,leaf-3,length-74,width-90.png,3,0,1
e§SMITH1-1-0§Q§i159,leaf-2,length-69,width-60.png,4,0,0
a§SMITH1-20§Q§452,leaf-1,length-58,width-45.png,0,0,0
b§CWRIC2-X2§Q§88,leaf-1,length-56,width-57.png,0,0,0
d§WSSWM3-1-0§Q§570,leaf-1,length-44,width-50.png,2,0,0
e§JBBLB2-1-20§Q§218,leaf-2,length-68,width-75.png,15,1,15
c§BWPEM1-9-0§Q§16,leaf-1,length-54,width-52.png,0,0,0
c§BWPEM1-9-0§Q§16,leaf-2,length-52,width-50.png,0,0,o
b§VRCAN-1-40§Q§483,leaf-2,length-65,width-62.png,16,0,0
d§CWRIC2-X2§Q§97,leaf-1,length-50,width-48.png,0,0,0
d§JWBOY-2-80§Q§262,leaf-2,length-68,width-72.png,0,0,3
 d§VRPET2-3-20§Q§525,leaf-1,length-42,width-34.png,0,0,0
a§CRSOSO-3-40§Q§55,leaf-2,length-63,width-74.png,17,2,0
d§MAVELK-1-20§N§i131,leaf-1,length-44,width-39.png,2,1,0
b§EFCC2-4-80§Q§139,leaf-2,length-43,width-50.png,3,0,0
a§MAVBEL2-1-20§N§308,leaf-3,length-64,width-65.png,15,0,0
b§MHBUR1-4-20§Q§346,leaf-1,length-34,width-38.png,0,0,7
a§NSLJU1-4-0§V§i139,leaf-1,length-65,width-63.png,0,0,0
d§JARI1-1-80§Q§180,leaf-1,length-32,width-25.png,0,0,0
