Tag,Mass,Maple,Together,BigBag,MapleBag,RegGM,BigGM
b§JBCHY1/1/50§Q§242,20.42,n,y,y,,,
b§JBCHY1/1/50§Q§242,6.22,y,y,n,,,
b§MHBUR1/4/20§Q§343,14.46,n,,y,,,
c§CWRIC2/X2§Q§91,14.64,n,,y,,,
c§JBBLB2/1/20§Q§210,15.04,n,,y,,,
c§VRCAN/1/40§Q§491,14.45,n,,y,,,
d§JARI1/1/80§Q§184,6.33,y,,n,,,
a§SMITH1/20§Q§456,6.6,y,,n,,,
b§VRPET2/3/20§Q§510,6.57,y,,n,,,
maple/cnt§11,7.37,y,,n,,,
a§VSGARO1/1/0§Q§533,7.17,y,,n,,,
d§MHBUR1/4/20§Q§350,5.72,y,,n,,,
e§RULEB1/20§N§429,6.12,y,,n,,,
e§WSSWM3/1/0§Q§575,6.33,y,,n,,,
maple/cnt§27,6.75,y,,n,,,
maple/cnt§15,6.9,y,,n,,,
a§CBMCK1/1/0§N§36,6.13,y,,n,,,
c§CWRIC2/X2§Q§92,6.79,y,,n,,,
b§VRCAN/1/40§Q§482,6.59,y,,n,,,
d§CWRIC2/X2§Q§98,6.14,y,,n,,,
b§SMITH1/20§Q§464,6.04,y,,n,,,
d§JWBOY/2/80§Q§262,6.21,y,,n,,,
e§EFCC2/4/80§Q§157,6.06,y,,n,,,
d§CWRIC2/X2§Q§96,6.21,y,,n,,,
a§CBMCK1/1/0§N§35,6.38,y,,n,,,
d§DVGM/20§Q§122,6.1,y,,n,,,
d§MSMID1/1/20§Q§392,6.45,y,,n,,,
a§WSSWM3/1/0§Q§555,6.56,y,,n,,,
a§SMAKC1/B§N§432,6.33,y,,n,,,
d§MAVBEL2/1/20§N§325,6.48,y,,n,,,
b§EFCC2/4/80§Q§144,6.28,y,,n,,,
c§MHBUR1/4/20§Q§344,6.11,y,,n,,,
d§VRPET2/3/20§Q§506,5.95,y,,n,,,
b§JARI1/1/80§Q§172,6.52,y,,n,,,
e§WSSWM3/1/0§Q§573,6.38,y,,n,,,
e§MAVBEL2/1/20§N§329,5.96,y,,n,,,
b§JBBLB2/1/20§Q§202,6.89,y,,n,,,
maple/cnt§14,6.99,y,,n,,,
e§PDVRT1/20§Q§418,6.39,y,,n,,,
b§MHNAT1/2/0§Q§358,6.36,y,,n,,,
b§VRCAN/1/40§Q§483,6.33,y,,n,,,
b§WSSWM3/1/0§Q§560,6.12,y,,n,,,
e§JWBOY/2/80§Q§269,6.4,y,,n,,,
e§JWBOY/2/80§Q§268,6.33,y,,n,,,
b§JARI1/1/80§Q§169,6.66,y,,n,,,
d§CRSOSO/3/40§Q§65,6.44,y,,n,,,
c§KVEDG1/1/80§Q§283,7.6,y,,n,,,
c§PDVRT1/20§Q§409,6.42,y,,n,,,
b|CRSOSO-3-40|Q|76,6.3,y,,n,,,
maple/cnt§21,6.42,y,,n,,,
a§CWRIC2/X2§Q§84,5.99,y,,n,,,
a§MHBUR1/4/20§Q§338,6.37,y,,n,,,
d§VSGARO1/1/0§Q§540,7.21,y,,n,,,
c§DVGM/20§Q§115,6.33,y,,n,,,
maple/cnt§19,6.35,y,,n,,,
e§JARI1/1/80§Q§189,6.39,y,,n,,,
maple/cnt§20,7.34,y,,n,,,
maple/cnt§23,7.08,y,,n,,,
e§MSMID1/1/20§Q§602,6.73,y,,n,,,
c§MHBUR1/4/20§Q§336,6.67,y,,n,,,
b§MHNAT1/2/0§Q§359,6.5,y,,n,,,
d§BWPEM1/9/0§Q§18,9.01,n,,n,,,
a§MSMID1/1/20§Q§366,9.92,n,,n,,,
a§KVEDG1/1/80§Q§273,10.01,n,,n,,,
a|CWRIC2-X2|Q|80,8.64,n,y,n,,,
a|CWRIC2-X2|Q|80,6.46,y,y,n,,,
e§DVGM/20§Q§132,18.96,n,,n,,,
b§JBCHY1/1/50§Q§223,9.47,n,,n,,,
a§SEBRN/1/20§N§i145,19.37,n,,n,,,
c§SMITH1/20§Q§468,9.51,n,y,n,,,
c§SMITH1/20§Q§468,6.61,y,y,n,,,
c§JARI1/1/80§Q§173,12.25,n,,n,,,
c§DVGM/20§Q§119,9.19,n,,n,,,
a§JWBOY/2/80§Q§251,8.6,n,,n,,,
b§VRCAN/1/40§Q§487,8.97,n,y,n,,,
b§VRCAN/1/40§Q§487,5.98,y,y,n,,,
e§CRSOSO/3/40§Q§54,8.99,n,,n,,,
c§SMITH1/20§Q§467,10.3,n,,n,,,
b§DVGM/20§Q§113,10.6,n,,n,,,
c§MHBUR1/4/20§Q§340,9.01,n,y,n,,,
c§MHBUR1/4/20§Q§340,6.28,y,y,n,,,
d§RULEB1/20§N§426,12.51,n,,n,,,
c§CWRIC2/X2§Q§95,10.03,n,,n,,,
d§JARI1/1/80§Q§179,9.07,n,,n,,,
a§DVGM/20§Q§102,9.6,n,,n,,,
e§JKFRS1/6/0§V§i122,14.47,n,,n,,,
c§NSLJU1/4/0§V§i141,9.87,n,,n,,,
e§DVGM/20§Q§131,17.83,n,,n,,,
c§JARI1/1/80§Q§177,9.75,n,,n,,,
b§SMAKC1/B§N§439,11.62,n,y,n,,,
b§SMAKC1/B§N§439,6.24,y,y,n,,,
d§VSGARO1/1/0§Q§543,10.21,n,,n,,,
d§KVEDG1/1/80§Q§296,9.68,n,y,n,,,
d§KVEDG1/1/80§Q§296,6.45,y,y,n,,,
d§SMAKC1/B§N§442,9.9,n,,n,,,
d§VRPET2/3/20§Q§526,10.1,n,,n,,,
c§JBCHY1/1/50§Q§235,10.42,n,,n,,,
a§SEBRN/1/20§N§i147,12.56,n,,n,,,
b§PDVRT1/20§Q§406,11.36,n,,n,,,
c§MHBUR1/4/20§Q§349,12.87,n,,n,,,
b§KVEDG1/1/80§Q§281,8.83,n,,n,,,
d§JWBOY/2/80§Q§256,14.7,n,,y,,,
d§JBBLB2/1/20§Q§212,14.46,n,,y,,,
b§SMAKC1/B§N§437,6.44,y,,n,,,
maple/cnt§16,6.97,y,,n,,,
c§KVEDG1/1/80§Q§289,6.56,y,,n,,,
c§WSSWM3/1/0§Q§567,6.73,y,,n,,,
b§VRCAN/1/40§Q§486,6.34,y,,n,,,
d§KVEDG1/1/80§Q§295,6.33,y,,n,,,
e§MAVBEL2/1/20§N§333,6.39,y,,n,,,
e|JBCHY1-1-50|?,6.56,y,,n,,,
b§EFCC2/4/80§Q§140,6.25,y,,n,,,
maple/cnt§8,6.78,y,,n,,,
c§BWPEM1/9/0§Q§11,6.37,y,,n,,,
maple/cnt§26,7.21,y,,n,,,
maple/cnt§12,6.93,y,,n,,,
c§VRCAN/1/40§Q§495,6.44,y,,n,,,
e§RULEB1/20§N§428,6.21,y,,n,,,
maple/cnt§24,6.36,y,,n,,,
b§PDVRT1/20§Q§408,6.66,y,,n,,,
a§WSSWM3/1/0§Q§559,6.46,y,,n,,,
b§SMITH1/20§Q§459,6.7,y,,n,,,
d§SMAKC1/B§N§435,6.21,y,,n,,,
d§EFCC2/4/80§Q§155,6.59,y,,n,,,
b§CRSOSO/3/40§Q§75,6.5,y,,n,,,
c§JBCHY1/1/50§Q§234,7.09,y,,n,,,
maple/cnt§10,7.33,y,,n,,,
a§JWBOY/2/80§Q§257,6.48,y,,n,,,
f§JBCHY1/1/50§Q§249,6.83,y,,n,,,
c§MHBUR1/4/20§Q§335,6.14,y,,n,,,
maple/cnt§29,6.87,y,,n,,,
maple/cnt§13,6.73,y,,n,,,
