gh_bench,gh_col,gh_row,Tag,treatment,leaf_length,true_leaves,new _code_needed? ,INTRA,MAPLE,,,Helper/date
,,,,,,,,comp_number,maple_leaf length,maple_height,maple_#_leaves,Mia and Rich (with Caliper) 
2,5,14,c|JBCHY1-1-50|Q|225,a,7,2,y,,,,,
2,4,14,e|DVGM-20|Q|130,m,10,3,,,28,89,2,
2,6,15,d|SMITH1-20|Q|473,m,0,0,,,54,132,2,
2,5,15,a|DVGM-20|Q|104,a,8,2,y,,,,,
2,6,16,c|CWRIC2-X2|Q|93,a,12,2,,,,,,
2,5,16,c|JBBLB2-1-20|Q|209,m,23,2,,,44,113,2,
2,4,16,f|JBCHY1-1-50|Q|247,m,8,3,,,27,64,2,
2,5,17,a|LGESC1-3-60|V|i123,a,15,3,,,,,,
2,4,17,a|CWRIC2-X2|Q|99,a,6,2,y,,,,,
2,6,18,a|CWRIC2-X2|Q|79,a,10,2,,,,,,
2,5,18,c|JBCHY1-1-50|Q|231,m,2,2,,,36,112,2,
2,4,18,b|JARI1-1-80|Q|165,a,16,2,,,,,,
2,6,19,b|SMITH1-20|Q|459,m,7,3,y,,27,101,2,
2,5,19,b|JBBLB2-1-20|Q|205,a,0,0,,,,,,
2,4,19,a|DVGM-20|Q|109,gm,13,4,,58,,,,
2,4,19,a|MSMID1-1-20|Q|368,gm,15,2,y,58,,,,
2,6,20,a|SEBRN-1-20|N|i146,a,5,4,,,,,,
2,5,20,e|WSSWM3-1-0|Q|574,a,14,2,,,,,,
2,4,20,e|SMITH1-20|Q|475,m,21,2,,,38,99,2,
2,6,21,d|JBBLB2-1-20|Q|197,a,0,0,y,,,,,
2,5,21,d|EFCC2-4-80|Q|154,a,12,2,,,,,,
2,4,21,d|CWRIC2-X2|Q|98,m,13,3,,,44,92,2,
4,3,14,d|KVEDG1-1-80|Q|298,gm,11,2,,21,,,,
4,3,14,a|SMITH1-20|Q|48,gm,5,3,y,21,,,,
4,1,15,d|DVGM-20|Q|126,a,13,3,,,,,,
4,3,15,c|CBMCK1-1-0|N|42,a,18,3,,,,,,
4,1,16,c|KVEDG1-1-80|Q|291,gm,16,2,,18,,,,
4,1,16,a|SMAKC1-B|N|434,gm,19,3,,18,,,,
4,2,16,d|CBMCK1-3-60|N|i115,a,12,3,,,,,,
4,3,16,e|RULEB1-20|N|430,gm,19,4,,20,,,,
4,3,16,c|KVEDG1-1-80|Q|293,gm,3,2,,20,,,,
4,1,17,d|JWBOY-2-80|Q|256,gm,12,3,y,91,,,,
4,1,17,b|RULEB1-20|N|423,gm,16,3,,91,,,,
4,2,17,e|BWPEM1-9-0|Q|30,a,5,2,,,,,,
4,3,17,b|PDVRT1-20|Q|405,gm,13,3,,67,,,,
4,3,17,a|MHBUR1-4-20|Q|334,gm,13,3,,67,,,,
4,1,18,a|BWPEM1-9-0|Q|3,a,11,2,,,,,,
4,3,18,d|SMITH1-20|Q|471,gm,15,3,,83,,,,
4,3,18,d|MHNAT1-2-0|Q|362,gm,9,2,,83,,,,
4,1,19,e|SMAKC1-B|N|447,a,18,3,y,,,,,
4,2,19,a|PDVRT1-20|Q|402,gm,15,3,,62,,,,
4,2,19,a|VSGARO1-1-0|Q|534,gm,18,3,,62,,,,
4,3,19,b|SMAKC1-B|N|444,a,17,4,y,,,,,
4,1,20,e|JWBOY-2-80|Q|265,a,19,3,,,,,,
4,2,20,b|JBBLB2-1-20|Q|206,m,11,3,,,35,75,4,
4,3,20,e|JBBLB2-1-20|Q|220,a,0,0,y,,,,,
4,1,21,a|DVGM-20|Q|106,gm,13,4,,60,,,,
4,1,21,a|SMITH1-20|Q|449,gm,10,2,,60,,,,
4,2,21,b|VRCAN-1-40|Q|482,m,6,2,,,24,65,2,
4,3,21,d|CRSOSO-3-40|Q|61,gm,14,3,,84,,,,
4,3,21,a|SMITH1-20|Q|455,gm,15,2,,84,,,,
4,1,22,d|VRCAN-1-40|Q|501,a,9,2,,,,,,
4,3,22,f|JBCHY1-1-50|Q|248,a,11,2,y,,,,,
3,4,1,b|JARI1-1-80|Q|172,m,10,1,y,,40,84,2,May 17 1736
3,5,1,a|PDVRT1-20|Q|398,gm,8,3,,64,,,,May 17 1737
3,5,1,b|CBMCK1-1-0|N|40,gm,11,2,y,64,,,,May 17 1738
3,6,1,a|CBMCK1-1-0|N|35,m,18,3,,,26,83,2,May 17 1739
3,4,2,e|JBBLB2-1-20|Q|221,a,10,3,,,,,,May 17 1740
3,5,2,b|PDVRT1-20|Q|407,a,15,3,,,,,,May 17 1741
3,6,2,d|VSGARO1-1-0|Q|538,a,22,2,,,,,,May 17 1742
3,4,3,b|SMAKC1-B|N|440,a,20,3,y,,,,,May 17 1743
3,5,3,d|VRPET2-3-20|Q|529,gm,11,3,,70,,,,May 17 1744
3,5,3,c|JWBOY-2-80|Q|259,gm,10,3,,70,,,,May 17 1745
3,6,3,c|JBCHY1-1-50|Q|234,m,10,2,,,30,91,2,May 17 1746
3,4,4,d|EFCC2-4-80|Q|156,m,11,2,y,,49,107,4,May 17 1747
3,5,4,d|EFCC2-4-80|Q|153,a,14,2,,,,,,May 17 1748
3,6,4,b|EFCC2-4-80|Q|143,gm,7,4,,47,,,,May 17 1749
3,6,4,a|SMITH1-20|Q|453,gm,13,3,,47,,,,May 17 1750
3,4,5,c|MSMID1-1-20|Q|385,a,13,2,,,,,,May 17 1751
3,5,5,d|DVGM-20|Q|122,m,14,3,,,27,64,2,May 17 1752
