"","Tag","ChlorA","ChlorB","gluc_Conc","flav_Conc","Family","treatment","gh_row","gh_bench","GM_TotalLeaf_Area","comp_number","ThripsDam","WhiteFungDam","BlackPathDam","Fern","gh_col","GM_Leaf_Area","Latitude","Longitude","Altitude","GM_StemHeight_Bolt","GM_Leaf_Number_Bolt","Larg_Leaf_Len_Bolt","Larg_Leaf_Wid_Bolt","Row_Field","Col_Field","Maple_Died","Maple_TotalLeafArea_End","GM_Fecundity","MapleFinalMass","RGR1","NumberOfSamples","maple_height_0","maple_leaf_length_0","maple_leaves_0","Maple_StemHeight_End","Maple_LeafNum_End","MapleDamage","GreenhouseSurvival","WhiteFungLogis","Bolt_Survival","Maple_SurvivalY2","Maple_SurvivalY1","GM_Fecundity2","PCCG_1","PCCG_2","PC1BoltSize","GM_FecundityMS","PCCG_1_T","PCCG_2_T","GM_Fecundity2MS"
"22","a|DVGM-20|Q|105",-0.886366729294451,0.20313038,-1.27021596611071,-2.28585001391837,"DVGM","gm",21,2,6867,59,0.80471895621705,0,0.549306144334055,0,2,2436,40.87611111,-74.95630278,232,150,11,24,26,8,6,"",NA,1.99,NA,1.12998801492075e-06,2,NA,NA,NA,NA,NA,NA,1,"0",1,NA,NA,2.04,1.44254164284395,0.540293246128624,1.77960616309937,0.971793002915452,-2.47768603132916,2.07779708469123,3.50522945570971
"23","a|DVGM-20|Q|106",NA,NA,NA,NA,"DVGM","gm",21,4,4419,60,0,0,0,0,1,1105.5,40.87611111,-74.95630278,232,28,4,12,11,9,6,"",NA,0.969999999999999,NA,4.63848404216131e-07,2,NA,NA,NA,NA,NA,NA,1,"0",1,NA,NA,1.02,NA,NA,-1.44874337700373,0.47368804664723,NA,NA,1.75261472785485
"24","a|DVGM-20|Q|107",-0.878964432181786,0.161187835,-1.51232474190394,-2.1168520937592,"DVGM","gm",22,4,2478,56,3.8286413964891,0,1.6094379124341,0,5,1404,40.87611111,-74.95630278,232,68,9,18,20,8,6,"",NA,1.71,NA,1.03672721049378e-06,1,NA,NA,NA,NA,NA,NA,1,"0",1,NA,NA,1.76,0.87540437546882,-0.0638402267678592,0.126830471479251,0.835058309037901,-3.04482329870429,1.47366361179474,3.02411953041622
"25","a|DVGM-20|Q|108",-1.81586863316704,0.0753904900000001,-1.69922296699305,-2.85048635343268,"DVGM","m",15,2,8360,NA,1.03972077083992,0,0,0,2,2832.5,40.87611111,-74.95630278,232,100,9,17,12,4,6,"",3408,0.76,0.83,8.01565628741921e-07,2,115,33,2,109,2,1,1,"0",1,1,1,0.81,-1.13796707298141,1.01205840162035,-0.0275092600448584,0.371137026239067,-5.05819474715452,2.54956224018295,1.39178228388474
"26","a|DVGM-20|Q|109",-1.95749484691504,0.0857279000000001,-2.18465113123378,-3.36870727341788,"DVGM","gm",19,2,4515,58,0.693147180559945,0,0.549306144334055,1.6094379124341,4,2050.5,40.87611111,-74.95630278,232,NA,NA,NA,NA,3,5,"",NA,NA,NA,6.50198188712467e-07,2,NA,NA,NA,NA,NA,NA,1,"0",0,NA,NA,0,-2.53660968969196,0.0567754631506405,NA,NA,-6.45683736386507,1.59427930171324,0
"27","a|DVGM-20|Q|110",-0.971792605036051,0.13382357,NA,NA,"DVGM","gm",3,4,8532,57,2.60474307642071,0,0.549306144334055,0,3,1626.5,40.87611111,-74.95630278,232,NA,NA,NA,NA,3,2,"",NA,NA,NA,6.57301895953059e-07,2,NA,NA,NA,NA,NA,NA,1,"0",0,NA,NA,0,NA,NA,NA,NA,NA,NA,0
"28","a|JARI1-1-80|Q|158",-2.13716165745604,0.0638227225000001,-1.95485196447798,-2.60855743705503,"JARI1","gm",7,3,7050,25,0,0.5,0,0,4,3230.5,41.48,-71.52,20.7,NA,NA,NA,NA,4,4,"",NA,NA,NA,1.0181953953589e-06,2,NA,NA,NA,NA,NA,NA,1,"1",0,NA,NA,0,-2.28687265293396,0.91265917947413,NA,NA,-6.20710032710707,2.45016301803673,0
"29","a|JARI1-1-80|Q|159",-1.93810731639674,0.0611744549999999,-2.17317089693985,-3.06994966009896,"JARI1","gm",18,2,8540,26,1.58902691517397,0,0.346573590279973,0,2,4030,41.48,-71.52,20.7,NA,NA,NA,NA,3,5,"",NA,NA,NA,1.13704122687408e-06,2,NA,NA,NA,NA,NA,NA,1,"0",0,NA,NA,0,-2.47672487849706,0.0531268667216909,NA,NA,-6.39695255267017,1.59063070528429,0
"30","a|JARI1-1-80|Q|160",-1.20933884438382,0.0935363850000001,NA,NA,"JARI1","gm",7,2,11180,27,0.549306144334055,0,0,0,5,1850,41.48,-71.52,20.7,85,17,32,31,1,4,"",NA,7.07,NA,3.61265283951492e-07,2,NA,NA,NA,NA,NA,NA,1,"0",1,NA,NA,7.12,NA,NA,2.20656611991356,3.45255102040816,NA,NA,12.2339381003202
"31","a|JARI1-1-80|Q|161",NA,NA,NA,NA,"JARI1","gm",19,3,7814,22,NA,NA,NA,0,5,NA,41.48,-71.52,20.7,NA,NA,NA,NA,8,5,"",NA,NA,NA,7.64908743745466e-07,1,NA,NA,NA,NA,NA,NA,1,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0
